,id,title,parent_id,path,source_id,taxonomy_id,item_id
54,26042,Medical biochemistry - proteins and peptides (incl. medical proteomics),26030,/25910/26030/26042,320506,2000,7183888
55,25724,Biochemistry and cell biology not elsewhere classified,25694,/25692/25694/25724,310199,2000,7183886
56,29674,High energy astrophysics and galactic cosmic rays,29662,/29660/29662/29674,510106,2000,7124066
57,29746,Astroparticle physics and particle cosmology,29744,/29660/29744/29746,510701,2000,7124066
58,25634,Wood fibre processing,25612,/25480/25612/25634,300711,2000,7039568
59,26046,Medical biochemistry and metabolomics not elsewhere classified,26030,/25910/26030/26046,320599,2000,7017310
60,25924,Anaesthesiology,25922,/25910/25922/25924,320201,2000,7017068
61,25512,Agricultural land planning,25506,/25480/25506/25512,300203,2000,6969378
62,25724,Biochemistry and cell biology not elsewhere classified,25694,/25692/25694/25724,310199,2000,6969378
63,25882,Animal neurobiology,25870,/25692/25870/25882,310906,2000,6968984
64,26390,Biologically active molecules,26388,/26316/26388/26390,340401,2000,6968976
65,26426,Colloid and surface chemistry,26420,/26316/26420/26426,340603,2000,6965540
66,26720,Cinema studies,26718,/26664/26718/26720,360501,2000,6954642
67,25724,Biochemistry and cell biology not elsewhere classified,25694,/25692/25694/25724,310199,2000,5794944
68,26428,Electrochemistry,26420,/26316/26420/26428,340604,2000,5794944
69,29664,Astrobiology,29662,/29660/29662/29664,510101,2000,5752309
70,26062,Medical biotechnology not elsewhere classified,26048,/25910/26048/26062,320699,2000,5752309
71,26680,Creative writing (incl. scriptwriting),26678,/26664/26678/26680,360201,2000,5738375
72,26716,Performing arts not elsewhere classified,26708,/26664/26708/26716,360499,2000,5738375
73,25886,Animal physiology - biophysics,25870,/25692/25870/25886,310908,2000,5738373
74,26082,Human biophysics,26078,/25910/26078/26082,320802,2000,5738373
75,25852,Microbiology not elsewhere classified,25838,/25692/25838/25852,310799,2000,5738373
76,25818,Genetics not elsewhere classified,25794,/25692/25794/25818,310599,2000,5738373
77,26818,Palaeontology (incl. palynology),26806,/26750/26806/26818,370506,2000,5738371
78,27798,Digital heritage,27790,/27768/27790/27798,430204,2000,5738369
79,26716,Performing arts not elsewhere classified,26708,/26664/26708/26716,360499,2000,5738369
80,29376,"Race, ethnicity and law",29350,/29294/29350/29376,480413,2000,5738369
81,27034,Higher education,27028,/26982/27028/27034,390303,2000,5738367
82,29038,Library and information studies not elsewhere classified,29016,/28804/29016/29038,461099,2000,5738367
83,25762,Terrestrial ecology,25746,/25692/25746/25762,310308,2000,5738365
84,25886,Animal physiology - biophysics,25870,/25692/25870/25886,310908,2000,5738361
85,26082,Human biophysics,26078,/25910/26078/26082,320802,2000,5738361
86,29674,High energy astrophysics and galactic cosmic rays,29662,/29660/29662/29674,510106,2000,5738359
87,29746,Astroparticle physics and particle cosmology,29744,/29660/29744/29746,510701,2000,5738359
88,29670,Galactic astronomy,29662,/29660/29662/29670,510104,2000,5738359
89,29680,Stellar astronomy and planetary systems,29662,/29660/29662/29680,510109,2000,5738359
90,29664,Astrobiology,29662,/29660/29662/29664,510101,2000,5735939
91,29666,Astronomical instrumentation,29662,/29660/29662/29666,510102,2000,5735939
92,29780,Space instrumentation,29768,/29660/29768/29780,510906,2000,5735939
