id,license,categories,tags,funders,count_references,count_files
11966085,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Hebrew Poetry', 'Hebrew Language', 'Zionism', 'Modernism', 'Nacionalism and Literature']",[],0,4
9741251,CC BY-NC 4.0,['Art'],"['Digital sewing', 'Soft enclosure', 'In-between']",[],0,1
9741257,CC BY-NC 4.0,['Art'],"['Fibre composites', 'Textile', 'Architecture', 'FRP', 'Materiality', 'Fabric pleating']",[],0,1
4909469,CC BY-NC 4.0,"['Design History and Theory', 'Textile and Fashion Design', 'Visual Communication Design (incl. Graphic Design)', 'Language, Communication and Culture not elsewhere classified', 'Art', 'Design']","['Loughborough Urban Graphic Object Archive', 'Transport for London', 'The Emirates Air Line', 'Seat cover pattern']",[],1,1
7363904,CC BY-NC-ND 4.0,"['Art', 'Fine Arts (incl. Sculpture and Painting)']","['Cover image', 'Neuroimmunology', 'Allergy', 'Immunology', 'Itch']",[],1,1
14291355,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Interlingual Homographs', 'Multilingualism', 'Language Conflict', 'Executive Function']",[],0,8
7200761,CC BY-NC-ND 4.0,"['Art', 'Fine Arts (incl. Sculpture and Painting)']","['Cover image', 'Epigenetics']",[],2,1
14167286,CC BY 4.0,"['Art', 'Performance and Installation Art', 'Drama, Theatre and Performance Studies']","['2012', 'Trespass']",[],0,1
7146656,CC BY-NC-ND 4.0,"['Fine Arts (incl. Sculpture and Painting)', 'Art']","['Olympics', 'Culture', 'Japan', 'Tokyo 2020']",[],0,1
14170181,CC BY 4.0,"['Art', 'Fine Arts (incl. Sculpture and Painting)', 'Performance and Installation Art']","['2012', 'Window Installation', 'Exhibition', 'Visual']",[],0,3
13702945,CC BY 4.0,['Art'],['untagged'],[],0,1
9795950,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['William Blake', 'Intermediality', '“The Sick Rose”', 'Jerusalem', 'Gilberto Sorbini & Weimar de Carvalho', 'Manuel Portela', 'Saulo Alencastre', 'Augusto de Campos']",[],0,4
14128811,CC BY 4.0,"['Art', 'Fine Arts (incl. Sculpture and Painting)', 'Performance and Installation Art']","['2014', 'Window Installation']",[],0,1
7020548,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Ulysses', 'James Joyce', 'Brazilian translations']",[],0,1
4736524,CC BY-NC 4.0,"['Architectural History and Theory', 'Architecture not elsewhere classified', 'Built Environment and Design not elsewhere classified', 'Community Planning', 'Design History and Theory', 'Design Innovation', 'Design Management and Studio and Professional Practice', 'Landscape Architecture', 'Regional Analysis and Development', 'Transport Planning', 'Urban Analysis and Development', 'Urban Design', 'Visual Communication Design (incl. Graphic Design)', 'Art', 'Design', 'Language', 'Language Studies not elsewhere classified', 'Language, Communication and Culture not elsewhere classified', 'Geography', 'Tourism Economics']","['Loughborough Urban Graphic Object Archive', 'City of Westminster Street Nameplate, London', 'Graphics Design', 'Urban Design', 'Signage', 'Design Research Unit', 'Chris Timings']",[],1,1
7710830,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Translation history', 'Science history', 'Intertextuality', 'Epigraphs and mottoes', 'Luso-Brazilian Enlightenment']",[],0,2
14125589,CC BY 4.0,"['Art', 'Fine Arts (incl. Sculpture and Painting)', 'Performance and Installation Art']","['2014', 'Exhibition', 'Group', 'Art']",[],0,7
5772540,CC BY 4.0,['Art'],"['Body', 'Contemporary Art', 'Fossil Fuels', 'Anthropocene', 'Climate Change']",[],0,3
14171045,CC BY 4.0,"['Art', 'Fine Arts (incl. Sculpture and Painting)', 'Performance and Installation Art']","['2010', 'Window Installation', 'Exhibitions']",[],0,2
5862240,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Translation Technologies', 'Translation Memory Systems', 'Translator Training']",[],0,9
14291318,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Product-Oriented Translation Studies', 'Contrastive Description', 'Systemic Functional Linguistics', 'Genre Modeling']",[],0,22
7511306,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Translation', 'Translators', 'Teaching and learning', 'Labor market of translation']",[],0,4
7517705,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Translation modalities', 'Equivalence', 'Translation strategies']",[],0,14
14116697,CC BY 4.0,"['Art', 'Performance and Installation Art']","['2020', 'Exhibition', 'CFA', 'College of Fine Arts']",[],0,1
7146602,CC BY-NC-ND 4.0,"['Fine Arts (incl. Sculpture and Painting)', 'Art']","['Olympics', 'Culture', 'Japan', 'Tokyo 2020']",[],0,1
7146641,CC BY-NC 4.0,"['Fine Arts (incl. Sculpture and Painting)', 'Art']","['Olympics', 'Culture', 'Japan', 'Tokyo 2020']",[],0,1
12662567,CC BY-NC 4.0,['Art'],"['virtual space', 'Somatic knowledge', 'Embodiment,', 'Virtual Reality', 'Performance Art', 'Media Art', 'body', 'Immersion', 'Visible/Invisible', 'Failure']",[],0,0
14170238,CC BY 4.0,"['Art', 'Fine Arts (incl. Sculpture and Painting)', 'Performance and Installation Art']","['2012', 'Bathroom Installation']",[],0,2
14207846,CC BY 4.0,"['Art', 'Performance and Installation Art']","['2011', 'Bathroom Installation', 'Exhibitions']",[],0,6
11966232,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Herberto Helder', 'Changed Poems', 'Amerindian Poetics']",[],0,5
7711016,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Translation', 'Hebrew Bible', 'Exegesis', '1 Re 22:21', 'Ps 53:3.5.7']",[],0,2
17163581,CC BY 4.0,"['Art', 'Linguistics', 'Applied Linguistics and Educational Linguistics', 'Social Change', 'Sociology and Social Studies of Science and Technology']","['COVID-19', 'New Normal', 'Remote Teaching', 'traditional classroom', 'virtual plane', 'reflexivity']","[{'id': 17163581, 'funder_name': None}]",1,1
14167250,CC BY 4.0,"['Art', 'Drama, Theatre and Performance Studies']","['2012', 'Future Ten']",[],0,1
14124353,CC BY 4.0,"['Art', 'Performance and Installation Art', 'Drama, Theatre and Performance Studies']","['2015', 'Trespass', 'Theatre', 'theatre play', 'Performance']",[],0,1
7510607,CC BY 4.0,['Art'],"['BPI', 'Body', 'Dance', 'Creation', 'Psychology']",[],0,3
14173208,CC BY 4.0,"['Art', 'Fine Arts (incl. Sculpture and Painting)', 'Performance and Installation Art']","['2009', 'Exhibitions', 'Group', 'CFA', 'College of Fine Arts']",[],0,47
14167262,CC BY 4.0,"['Art', 'Fine Arts (incl. Sculpture and Painting)', 'Performance and Installation Art']","['2012', 'Trespass', 'Exhibition', 'Group']",[],0,2
14204687,CC BY 4.0,"['Art', 'Fine Arts (incl. Sculpture and Painting)', 'Performance and Installation Art']","['2004', 'Exhibitions']",[],0,1
16634923,In Copyright,"['Visual Cultures', 'History', 'Fine Arts (incl. Sculpture and Painting)', 'Art', 'Archaeology', 'Ecology', 'Geography', 'Geodynamics', 'Geology']","['printmaking', 'goldfields', 'mining', 'environment', 'art-science', 'community exchange', 'Australia', 'New Zealand', 'UK']","[{'id': 16634923, 'funder_name': None}]",1,1
16634944,In Copyright,"['Visual Cultures', 'Art', 'Fine Arts (incl. Sculpture and Painting)']","['contemporary art', 'light', 'Australian art', 'abstraction', 'neon', 'art-science', 'colour field', 'installation']",[],0,1
16634950,In Copyright,"['Fine Arts (incl. Sculpture and Painting)', 'Art', 'Visual Cultures']","['contemporary art', 'painting', 'sculpture', 'installation', 'sound', 'Tiwi', 'Gija', 'Yolngu', 'grief', 'death', 'ceremony']",[],0,6
19899038,CC BY 4.0,['Art'],"['Performance', 'Theater', 'Interpretation', 'Acting', 'Action-Analysis']",[],0,24
14567178,CC BY-ND 4.0,"['Visual Arts and Crafts not elsewhere classified', 'Art', 'Art History', 'Creative Writing (incl. Playwriting)']","['Self-reflection', 'Art', 'Creative writing', 'Asian-American', 'Identity', 'Watercolor', 'Nature', 'Narrative', 'Art history', 'COVID-19']",[],0,2
9724664,CC BY-NC 4.0,['Art'],"['E-waste', 'E-textile', 'E-textile waste', 'Environmental sustainability', 'Smart textiles']",[],0,1
7045703,CC BY 4.0,['Art'],"['Decolonial', 'Aesthetics', 'Drama', 'Postdramatic', 'Coloniliaty']",[],0,2
14207555,CC BY 4.0,"['Art', 'Fine Arts (incl. Sculpture and Painting)', 'Performance and Installation Art']","['2011', 'Exhibitions', 'Group', 'CFA', 'College of Fine Arts']",[],0,13
14128499,CC BY 4.0,"['Art', 'Architectural Design']","['2016', 'Exhibition', 'Group', 'Visual', 'Architecture']",[],0,7
14207891,CC BY 4.0,['Art'],"['2010', 'Programs']",[],0,65
14125781,CC BY 4.0,"['Art', 'Performance and Installation Art']","['2016', 'Fundraiser']",[],0,6
14153813,CC BY 4.0,"['Art', 'Performance and Installation Art']","['2013', 'Trespass']",[],0,1
14189078,CC BY 4.0,"['Visual Arts and Crafts not elsewhere classified', 'Art', 'Fine Arts (incl. Sculpture and Painting)']","['2003', 'Exhibition']",[],0,1
14204465,CC BY 4.0,"['Art', 'Performance and Installation Art']","['2005', 'Exhibitions', 'Performances']",[],0,3
7553222,CC BY 4.0,['Art'],"['database template', 'artists', 'video production']","[{'id': 7553222, 'funder_name': None}]",1,1
14204726,CC BY 4.0,['Art'],['2003'],[],0,3
14207546,CC BY 4.0,['Art'],"['2011', 'Programs']",[],0,1
14173271,CC BY 4.0,['Art'],"['2008', 'Fundraiser']",[],0,2
14166527,CC BY 4.0,['Art'],"['2018', 'Workshop']",[],0,1
9724637,CC BY-NC 4.0,['Art'],"['Value-sensitive design', 'Fashion wearables', 'Olfactory interfaces', 'Internet of Things', 'Envisioning cards', 'Sustainability']",[],0,1
4736548,CC BY-NC 4.0,"['Architectural History and Theory', 'Architecture not elsewhere classified', 'Built Environment and Design not elsewhere classified', 'Community Planning', 'Design History and Theory', 'Design Innovation', 'Design Management and Studio and Professional Practice', 'History and Theory of the Built Environment (excl. Architecture)', 'Landscape Architecture', 'Regional Analysis and Development', 'Transport Planning', 'Urban Analysis and Development', 'Urban Design', 'Visual Communication Design (incl. Graphic Design)', 'Art', 'Design', 'Language', 'Geography', 'Tourism Economics', 'Language Studies not elsewhere classified', 'Language, Communication and Culture not elsewhere classified']","['Loughborough Urban Graphic Object Archive', 'City of Westminster Street Nameplate, London', 'Graphic Design', 'Urban Design', 'Signage', 'Design Research Unit', 'Chris Timings']",[],1,1
11757066,CC BY 4.0,['Art'],"['Funk', 'Photography', 'Performance', 'LGBT', 'Dance']",[],0,21
7172447,CC BY-NC-ND 4.0,"['Art', 'Fine Arts (incl. Sculpture and Painting)']","['Cover image', 'Epigenetics']",[],2,0
14204735,CC BY 4.0,['Art'],['2004'],[],0,8
9487922,CC BY 4.0,[],"['South African Music', 'Cello and Organ Music', 'three dances', 'Cello', 'Organ', 'Jetty de Vries', 'Human Coetzee', 'Jetty van rensburg', 'notational convention', 'organist']",[],0,2
7146698,CC BY-NC-ND 4.0,"['Fine Arts (incl. Sculpture and Painting)', 'Art']","['Olympics', 'Olympic Games', 'Tokyo 2020', 'Japan', 'Joshibi University', 'Loughborough University', 'Art', 'Culture']",[],0,1
14207471,CC BY 4.0,"['Art', 'Fine Arts (incl. Sculpture and Painting)', 'Performance and Installation Art']","['2004', 'Exhibitions']",[],0,6
14204663,CC BY 4.0,"['Art', 'Fine Arts (incl. Sculpture and Painting)', 'Performance and Installation Art']","['2006', 'Exhibition', 'CFA', 'College of Fine Arts']",[],0,1
19977440,In Copyright,"['Art', 'Environmental Philosophy', 'Environmental Humanities', 'Performance and Installation Art', 'Art Theory', 'Ethical Theory']",['thesis'],[],0,1
14124284,CC BY 4.0,"['Art', 'Fine Arts (incl. Sculpture and Painting)', 'Performance and Installation Art']","['2015', 'Visual', 'Exhibition', 'Solo', ""AMP'd""]",[],0,13
14107397,CC BY 4.0,"['Art', 'Performance and Installation Art']","['2019', 'Exhibition', 'CFA', 'College of Fine Arts']",[],0,2
7146650,CC BY-NC-ND 4.0,"['Fine Arts (incl. Sculpture and Painting)', 'Art']","['Olympics', 'Culture', 'Japan', 'Tokyo 2020']",[],0,1
14170922,CC BY 4.0,['Art'],"['2017', 'Exhibition']",[],0,9
9724712,CC BY-NC 4.0,['Art'],"['Rubble as heritage', 'Textile design', 'Architectural memory', 'Rehabilitation', 'Upcycling']",[],0,1
14329049,CC BY 4.0,['Art'],"['Aura', 'Teaching Authority', 'Communitas', 'Enthusiasm', 'Critical Pedagogy']",[],0,5
14207918,CC BY 4.0,['Art'],"['2010', 'Exhibitions', 'Group']",[],0,14
7020065,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Sworn translation and interpreting', 'Translation testing', 'Translation in Colombia', 'Translation status in Colombia']",[],0,17
7517915,CC BY 4.0,['Art'],"['Motim', 'Relational Thinking', 'Laughter', 'Contagion', 'Process Dramaturgy']",[],0,6
8194952,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Voltaire', 'Lettres anglaises', 'Translation in the eighteenth century', 'Emphasis', 'Enarrative voice']",[],0,9
9943904,CC BY 4.0,"['Art', 'Art History', 'Visual Cultures', 'Visual Arts and Crafts not elsewhere classified', 'Visual Communication Design (incl. Graphic Design)', 'Comparative Government and Politics']","['Graffiti', 'street art', 'art', 'protest', 'Colombia']",[],0,1
14156984,CC BY 4.0,['Art'],['2012'],[],0,1
7517156,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Thomas Merton', 'Latin American poetry', 'Translation']",[],0,1
7710416,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Alvarenga', 'Retranslation', 'Authorship', 'Sappho']",[],0,4
14125664,CC BY 4.0,"['Art', 'Electronic Media Art', 'Film and Television']","['2014', 'Film']",[],0,2
12923723,CC BY 4.0,"['Economics', 'Sociology', 'Art', 'Performing Arts', 'Statistics', 'Entertainment', 'Media Studies']","['COVID-19', 'pandemic', 'visitor', 'restaurants', 'cafes', 'shopping centers', 'theme parks', 'museums', 'libraries', 'theaters', 'Published using rfigshare']",[],1,1
14291316,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Ovid', 'Heroides', 'Latin Elegiac Couplet', 'Poetic Translation']",[],0,2
10009913,CC BY-NC 4.0,"['Art', 'Fine Arts (incl. Sculpture and Painting)', 'Electronic Media Art', 'Visual Arts and Crafts not elsewhere classified', 'Creative Arts, Media and Communication Curriculum and Pedagogy', 'Studies in the Creative Arts and Writing not elsewhere classified']","[""Artists' Moving Image"", 'Video Art', 'Film Art', 'Critical Media Theory', 'International Learning Resource', 'Smartphone Design', 'Critical Pedagogy']",[],0,1
7516298,CC BY 4.0,['Art'],"['Forum Theatre', 'Truth', 'Stage', 'Affective Memory', 'Physical Actions']",[],0,1
14291335,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Streaming', 'Subtitling', 'Translation Studies']",[],0,2
7710668,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Stage adaptation', 'William Shakespeare', 'King Lear']",[],0,1
14329047,CC BY 4.0,['Art'],"['Transgenderities', 'Performance', 'Anticolonialities', 'Corporealities', 'Art and Gender Pedagogy']",[],0,9
7019852,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Sign Language', 'Modality', 'Translation', 'Interpreting', 'Intermodal']",[],0,7
7512353,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Agatha Christie', 'Intercultural Mediators', 'Portuguese Language', 'Translated Literature']",[],0,6
7518653,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Travel literature', 'Culture-specifc item', 'Charles Expilly']",[],0,1
7510658,CC BY 4.0,['Art'],"['Pilates', 'Somatic Education', 'Performing Arts', 'Aesthetics', 'Body']",[],0,1
14291330,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Multilingualism', 'Subtitling', 'Portuguese', 'Almodóvar']",[],0,10
14170811,CC BY 4.0,['Art'],"['2017', 'Fundraiser']",[],0,1
11965872,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Korean Poetry', 'Poetic Translation', 'Cultural Translation']",[],0,1
7519034,CC BY 4.0,['Art'],"['Presence', 'Perception', 'Politics of Affects', 'Postdramatic Theatre', 'Teatro delle Albe']",[],0,3
7515032,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Literary translation', 'Transcreation', 'Haroldo de Campos', 'Octavio Paz']",[],0,3
5862273,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Machado de Assis', 'Augusto de Campos', 'Dante Alighieri', 'Translation', 'Poetry']",[],0,7
12923705,CC BY 4.0,"['Economics', 'Sociology', 'Art', 'Performing Arts', 'Statistics', 'Entertainment', 'Media Studies']","['COVID-19', 'pandemic', 'visitor', 'restaurants', 'cafes', 'shopping centers', 'theme parks', 'museums', 'libraries', 'theaters', 'Published using rfigshare']",[],1,1
6234887,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Elie Luzac', 'Translation in the eighteenth century', 'Exile', 'Materialism', 'Enarrative voice']",[],0,10
7519022,CC BY 4.0,['Art'],"['Voices', 'Memory', 'Sound', 'Helen Brown', 'Performance Analysis']",[],0,4
7519271,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Descritivismo', 'Deslocamentos Tradutórios']",[],0,2
14167298,CC BY 4.0,"['Art', 'Performance and Installation Art']","['2012', 'Trespass']",[],0,1
14125775,CC BY 4.0,['Art'],"['2016', 'Workshop']",[],0,1
14153825,CC BY 4.0,"['Art', 'Performance and Installation Art']","['2013', 'Trespass']",[],0,1
7507157,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Parallel corpora', 'Monolingual', 'Bilingual and multilingual concordancers', 'Sketch Engine', 'Conventionality', 'Creativity', 'Terminological variation']",[],0,9
19921319,CC BY 4.0,['Art'],"['Laboratory', 'Choreology', 'Practice as Research', 'Research Methods', 'Embodied Research']",[],0,18
14204357,CC BY 4.0,"['Art', 'Fine Arts (incl. Sculpture and Painting)', 'Performance and Installation Art']","['2007', 'Exhibitions', 'Group']",[],0,3
14207549,CC BY 4.0,['Art'],"['2011', 'Fundraiser']",[],0,1
11266889,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Father Brown', 'Religion', 'Corpus-Based Translation Studies']",[],0,5
7710410,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Clarice Lispector', 'English-speaking literary system', 'Translation']",[],0,2
14156975,CC BY 4.0,"['Film, Television and Digital Media not elsewhere classified', 'Art', 'Electronic Media Art']","['2013', 'Programs']",[],0,4
8194793,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['(Non-)Retranslation', 'Reprint', 'Sartre', 'USSR', 'Russia']",[],0,3
7516535,CC BY 4.0,['Art'],"['Presence', 'Film-Theater', 'Mise-en-Scène', 'Public', '4th Wall']",[],0,12
6125468,CC BY 4.0,['Art'],"['Cartography', 'Body-City', 'Dance Research', 'Space']",[],0,8
14291320,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Translation Criticism', 'Clarice Lispector', 'Lance Hewson', 'Translational Choices', 'Effects on Reading']",[],0,5
7710479,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Teaching of Translation', 'Scientific language', 'Corpus linguistics']",[],0,4
7710827,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['ESP teaching', 'Language courses', 'Translation', 'Terminology', 'Shared expertise']",[],0,3
7508453,CC BY 4.0,['Art'],"['Somatic Field', 'Research', 'Principles', 'Autonomy', 'Integration/Interaction']",[],0,16
7514963,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Language Policy', 'Multilingualism', 'Scientific Networking', 'Oswaldo Cruz Institute', 'Belle époque']",[],0,9
6723374,In Copyright,['Art'],"['Headphones', 'Control', 'Labor', 'Sound', 'Architecture']",[],0,1
13701349,CC BY 4.0,['Art'],"['drawing', 'series', 'family', 'portraiture', 'over the shoulder', 'charcoal', 'Fiona Jones', 'UW Art Department', 'honors', 'exhibit']",[],0,4
13700023,CC BY 4.0,['Art'],"['Art', 'Visual Poetry', 'Poetry', 'Calligraphy', 'Written word as art']",[],0,1
4736542,CC BY-NC 4.0,"['Architectural History and Theory', 'Architecture not elsewhere classified', 'Built Environment and Design not elsewhere classified', 'Community Planning', 'Design History and Theory', 'Design Innovation', 'Design Management and Studio and Professional Practice', 'History and Theory of the Built Environment (excl. Architecture)', 'Landscape Architecture', 'Regional Analysis and Development', 'Transport Planning', 'Urban Analysis and Development', 'Urban Design', 'Visual Communication Design (incl. Graphic Design)', 'Art', 'Design', 'Language', 'Geography', 'Tourism Economics']","['Loughborough Urban Graphic Object Archive', 'City of Westminster Street Nameplate, London', 'Graphic Design', 'Urban Design', 'Signage', 'Design Research Unit', 'Chris Timings']",[],1,1
4909463,CC BY-NC 4.0,"['Design History and Theory', 'Textile and Fashion Design', 'Visual Communication Design (incl. Graphic Design)', 'Language, Communication and Culture not elsewhere classified', 'Art', 'Design']","['Loughborough Urban Graphic Object Archive', 'Transport for London', 'The Circle Line', 'Seat cover pattern']",[],1,1
9724655,CC BY-NC 4.0,['Art'],"['Second hand clothing', 'Rag pickers', 'Textile waste', 'Upcycled fashion', 'Community', 'Service user', 'Deconstructed', 'Self-esteem']",[],0,1
9724700,CC BY-NC 4.0,['Art'],"['Open innovation', 'Interdisciplinary collaboration', 'Infrastructure development', 'Textile processes', 'Rapid textiles prototyping', 'Practice-led research', 'Smart textiles', 'Textile design & technology']",[],0,1
14061740,CC BY 4.0,"['Art', 'Performance and Installation Art']","['Fundraiser', '2015']",[],0,6
14128856,CC BY 4.0,"['Art', 'Fine Arts (incl. Sculpture and Painting)', 'Performance and Installation Art']","['2014', 'Exhibitions', 'Group']",[],0,1
12816209,CC BY 4.0,[],"['Drawing process', 'observation techniques', 'Haptics', 'haptics/touch', 'haptics applications', 'anatomy education', 'Gross anatomy education', 'Medical education researchers', 'Medical education', 'Cognition', 'cadaveric 3 D images', 'visuospatial', 'visuospatial tasks', 'visuospatial cues']",[],1,1
14170808,CC BY 4.0,['Art'],"['2017', 'Fundraiser']",[],0,1
9741278,CC BY-NC 4.0,['Art'],"['Cycling', 'Safety', 'Clothing', 'Electronic textiles', 'Electronic yarn', 'LED', 'Light-emitting diode']",[],0,1
12696485,CC BY-ND 4.0,"['Fine Arts (incl. Sculpture and Painting)', 'Visual Arts and Crafts not elsewhere classified', 'Arts and Cultural Policy', 'Art']","['Visual arts', 'Derbyshire', 'Cultural Economy', 'COVID_19', 'Black Lives Matter', 'Art', 'Artists', 'Crafts', 'East Midlands']","[{'id': 12696485, 'funder_name': None}]",1,1
7834985,CC BY 4.0,['Art'],"['Zoe', 'Utopian Body', 'Heterotopia', 'Culture', 'Subjectivity']",[],0,4
9741296,CC BY-NC 4.0,['Art'],"['Collaboration', 'Smart textiles', 'Practice-based', 'Practice-led', 'Co-design', 'Innovation']",[],0,1
14166404,CC BY 4.0,"['Art', 'Performance and Installation Art']","['2017', 'Exhibition']",[],0,74
14153720,CC BY 4.0,"['Art', 'Performance and Installation Art', 'Fine Arts (incl. Sculpture and Painting)']","['2014', 'Visual', 'Exhibition', 'Window Installation']",[],0,1
14170850,CC BY 4.0,['Art'],"['2017', 'Workshop']",[],0,1
14167349,CC BY 4.0,"['Art', 'Fine Arts (incl. Sculpture and Painting)']","['2012', 'Exhibitions', 'Group']",[],0,7
7509155,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Corpus-driven translation teaching and learning', 'Creative writing', 'Linguistic competence', 'Mother tongue', 'Action research']",[],0,7
6235163,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Philosophy of language', 'Philosophy of translation', 'Postliterate translation', 'Reine Sprache']",[],0,1
11966178,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Poetics of Translating', 'Chinese Literature', 'Translation of Chinese Poetry', 'Medio-Translatology', 'The Parallax Translation']",[],0,3
4233530,CC BY-NC-ND 4.0,['Art'],"['Sculpture', 'EU-China', 'Public Art', 'Group Exhibition', 'Olympic Park, London', 'Terracotta Warriors', 'Inspiring Culture', 'Palbric Art Foundation', 'Loughborough University London', 'HereEast', 'Emperor Qin']","[{'id': 4233530, 'funder_name': None}]",1,1
14153678,CC BY 4.0,"['Art', 'Performance and Installation Art']","['2014', 'Trespass', 'Performance']",[],0,2
14125823,CC BY 4.0,"['Art', 'Dance']","['2016', 'Trespass', 'Dance', 'Performance']",[],0,3
14173253,CC BY 4.0,"['Art', 'Fine Arts (incl. Sculpture and Painting)', 'Performance and Installation Art']","['2008', 'Exhibitions', 'Window Installation']",[],0,1
14170637,CC BY 4.0,"['Art', 'Electronic Media Art', 'Performance and Installation Art']","['2016', '2017', 'Exhibition']",[],0,6
14204681,CC BY 4.0,"['Art', 'Fine Arts (incl. Sculpture and Painting)', 'Performance and Installation Art']","['2004', 'Exhibitions']",[],0,1
14173037,CC BY 4.0,"['Art', 'Performance and Installation Art']","['2009', 'Programming']",[],0,18
11266661,CC BY 4.0,"['Sociology', 'Art', 'Linguistics']","['Perception', 'Translation', 'Interpreting', 'Bilingualism']",[],0,8
